"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C12orf57",2082.47008081679,-0.123218186668756,0.0546894248864697,-2.25305325343147,0.0242557914347985,0.0998648484177479
"LARP4",3301.29965492674,0.122602446832066,0.0478533695078959,2.56204417981133,0.0104058080605593,0.0514969746769003
"GLCCI1",120.409590676645,0.131217020910568,0.152035108370329,0.863070525729811,0.388098692118441,0.632353988758734
"C20orf54",53.2082163855987,-0.446699905386302,0.232495250398054,-1.92132916531202,0.0546902224822459,0.180790074767738
"SFT2D1",593.490301782284,0.0733891573039553,0.0704369407277285,1.04191290174908,0.297452061944243,0.542769152026077
"TEX261",730.355319729701,0.0869224066801726,0.0730278304303657,1.1902641248949,0.233942596447988,0.470834374692309
"C1orf212",567.650488619094,-0.043987808172162,0.0744875437541177,-0.590539115068221,0.554829270027075,0.76463865785244
"ADC",34.0010422482565,-0.357921963777375,0.288347583810327,-1.24128650237907,0.21449992912321,0.44686223766529
"TMEM54",1252.8556551011,-0.146107160273304,0.0620790841399401,-2.35356500981789,0.0185943561346566,0.0818276116799113
"TUBA3D",113.923589080648,3.94148859427888,0.283375129904489,13.9090843843895,5.57890515716092e-44,4.48134095889497e-42
"CMTM1",34.3852622134784,0.222500020644143,0.281892532547217,0.789307962980093,0.429932033643508,0.668230970010885
"CYP2U1",1149.63370528751,1.35685066276986,0.066312885138765,20.4613426173593,4.76091380251158e-93,1.00387268178673e-90
"ADPRHL1",289.857971524316,-0.113024390509749,0.10444601317058,-1.08213216645386,0.279193804604924,0.523781612014729
"MFSD3",523.810646306266,-0.149707067588181,0.0914950437921656,-1.63623144362055,0.10179115796896,0.277522510574342
"SDSL",365.194482922853,-0.24822151297519,0.0927541874030701,-2.67612190807651,0.00744795484856061,0.0395794108243941
"C7orf29",56.8065299694159,-0.0820667502356991,0.192531143477369,-0.426251819593776,0.669924361557652,0.837589028174154
"PIK3IP1",461.929311313996,-0.459799407608794,0.0836134746623243,-5.49910656704208,3.81720396694385e-08,6.20847719582272e-07
"C1orf59",134.72753640337,0.0186116906058498,0.130547374278835,0.142566564120219,0.886632505645686,0.949687647556627
"FAM83F",472.661718545282,-0.110237213383322,0.0810612515790865,-1.35992488687114,0.173853694626398,0.393419782703815
"SLC35A4",860.463112963435,-0.000294373311212442,0.0734147518483673,-0.00400972970419416,0.996800707149035,0.999075519342661
"DTX2",130.634239971162,0.290102101397465,0.135792449621686,2.13636400407888,0.0326497556688038,0.124323868086822
"TOE1",286.508559027032,0.0699412591003076,0.105459379425493,0.663205676738511,0.507198836289128,0.729406174601492
"C21orf90",24.5261840470374,0.163088662210262,0.315488347581263,0.516940367086787,0.605197787414927,0.796675080690686
"MCM3APAS",121.409875260417,-0.113002873744801,0.155395792037887,-0.727193910870189,0.467107175836479,0.69793531401146
"WBSCR22",871.707103509559,-0.111836981910585,0.0684033588631296,-1.63496330837149,0.102056739575847,0.27779871350451
"TXNRD3",275.138749493112,-0.125517846935471,0.0996762299761246,-1.25925556138646,0.207938038723723,0.438188195360631
"SLC2A13",37.1121939636279,-0.101062731396911,0.259041483499285,-0.390141108025232,0.696432206712683,0.851686576580337
"LACTB",549.041504995068,-0.0809378987103935,0.0773567755113402,-1.04629359452202,0.295425501887637,0.540248463108133
"PALM2",21.5283380090767,0.546395722172979,0.332973730516869,1.64095744527599,0.100806249071707,0.275892934138904
"EFHC1",271.109428557663,0.132073318009987,0.108837815440654,1.21348740302494,0.224943527670065,0.459141430376513
"MAL2",3465.64541947799,0.0306060515723037,0.0527020510068712,0.580737390435019,0.56141745763319,0.769567767650967
"SNORD15B",223.877118514055,-0.385795882704507,0.131819604370147,-2.9266958017959,0.00342583783095969,0.0210360338574998
